state,month,year,rainfall_mm,pH,turbidity_NTU,dissolved_oxygen_mg_L,total_coliform_MPN,water_temp_C,risk_level,risk_score,primary_disease
Assam,May,2020,25.5,7.82,4.58,8.01,97,25.45,moderate,29.79,None
Odisha,October,2023,48.1,7.47,5.53,6.78,98,32.05,moderate,37.68,None
Bihar,March,2021,13.2,6.85,2.68,7.55,218,20.26,moderate,31.04,Typhoid Fever
Maharashtra,August,2023,324.8,7.51,12.93,8.39,390,23.75,severe,86.2,Hepatitis A
Gujarat,May,2021,46.7,6.26,3.43,5.24,100,22.85,moderate,39.48,None
Rajasthan,April,2024,15.7,8.08,1.39,5.47,114,32.11,moderate,43.69,Typhoid Fever
Chhattisgarh,December,2023,51.5,6.68,4.65,9.25,102,22.92,low,24.16,Typhoid Fever
Manipur,December,2021,116.1,6.56,5.23,7.39,104,19.82,moderate,28.31,None
Madhya Pradesh,April,2024,14.7,7.68,1.71,6.21,118,27.91,moderate,34.92,None
Tripura,July,2024,480.1,7.44,8.36,5.26,502,27.19,severe,106.34,Cholera
Nagaland,August,2021,152.6,7.56,6.01,7.5,142,20.93,moderate,34.78,None
Kerala,March,2020,66.2,7.61,2.71,5.08,98,19.69,moderate,35.92,None
Andhra Pradesh,October,2022,167.4,6.53,3.08,8.31,96,23.2,low,22.06,None
Jharkhand,February,2024,28.7,7.27,7.7,8.23,107,21.66,moderate,29.63,None
Rajasthan,February,2023,12.8,8.5,4.71,4.72,113,21.77,high,53.01,Giardiasis
Assam,January,2024,31.8,6.73,6.19,7.07,102,20.31,moderate,30.08,None
Tripura,April,2023,33.7,7.23,5.42,6.81,110,23.49,moderate,31.84,None
Rajasthan,March,2024,4.9,7.46,4.12,4.28,85,27.11,moderate,43.49,Hepatitis A
Odisha,June,2023,266.2,6.78,7.46,9.47,319,31.89,high,54.96,None
Goa,September,2021,538.9,6.64,10.47,6.35,552,24.94,severe,108.55,Cholera
Jharkhand,June,2022,187.5,7.55,7.84,4.53,159,28.38,high,58.62,None
West Bengal,August,2020,291.6,6.99,11.23,8.32,540,26.11,severe,79.61,Typhoid Fever
Manipur,June,2020,483.8,6.09,11.54,4.94,523,33.57,severe,127.88,Hepatitis A
Jharkhand,April,2020,20.5,8.04,1.34,8.62,92,27.85,moderate,26.2,Cholera
Manipur,August,2021,267.3,7.52,6.0,6.35,351,24.56,high,62.83,None
Odisha,September,2022,112.9,7.53,2.54,8.18,157,20.95,moderate,26.55,None
Punjab,February,2020,49.3,8.01,6.32,7.49,121,18.99,moderate,37.39,Typhoid Fever
Mizoram,September,2020,250.6,6.27,12.05,7.56,351,27.0,high,72.2,Typhoid Fever
Uttarakhand,May,2021,18.1,7.47,9.29,7.07,100,31.84,moderate,43.85,None
Odisha,July,2020,172.9,8.35,6.89,5.87,150,27.01,high,56.43,Cholera
Haryana,January,2023,14.8,7.11,6.22,5.23,97,16.42,moderate,37.09,None
Punjab,September,2022,145.0,6.89,6.4,6.4,147,27.6,moderate,40.4,Typhoid Fever
Chhattisgarh,June,2024,307.7,6.02,8.65,8.05,393,28.27,severe,84.64,Cholera
Uttar Pradesh,September,2021,365.5,7.22,15.2,4.62,766,27.79,severe,155.99,Typhoid Fever
Rajasthan,December,2023,21.7,8.16,5.66,5.01,93,17.36,moderate,47.17,None
Madhya Pradesh,April,2024,33.3,7.83,4.55,6.68,135,24.52,moderate,39.76,None
Telangana,November,2023,117.6,7.18,0.8,6.88,102,22.02,low,20.21,None
Mizoram,May,2023,53.4,7.58,5.81,5.95,106,26.08,moderate,41.31,None
Karnataka,August,2021,253.8,7.14,10.03,7.24,375,26.99,high,66.25,Typhoid Fever
Maharashtra,August,2022,303.8,6.22,11.29,6.35,384,21.09,severe,93.09,None
Goa,November,2024,167.6,7.57,9.14,4.19,113,21.62,high,55.14,Hepatitis A
Manipur,May,2024,17.4,7.28,9.0,5.41,108,30.75,moderate,49.93,Hepatitis A
Kerala,April,2020,49.1,7.5,3.01,7.65,112,32.8,moderate,30.37,Typhoid Fever
Uttarakhand,March,2021,0.0,7.86,3.32,6.79,96,27.65,moderate,34.72,Dysentery
Tripura,June,2021,319.9,6.57,11.88,4.98,376,28.25,severe,101.86,None
Sikkim,May,2023,43.3,6.7,3.99,7.55,100,28.28,moderate,27.37,Typhoid Fever
Chhattisgarh,June,2021,260.1,7.08,9.53,5.0,334,30.89,high,73.7,None
Meghalaya,May,2021,19.6,6.46,2.43,9.01,116,28.68,moderate,26.2,None
Assam,June,2023,274.0,7.07,6.07,7.4,369,25.76,high,55.62,None
Rajasthan,March,2022,0.0,7.8,3.08,5.37,107,22.51,moderate,39.27,None
Punjab,August,2021,472.4,6.45,8.98,7.85,490,29.19,severe,93.37,Dysentery
Mizoram,August,2024,180.0,7.4,2.69,5.1,181,25.77,moderate,44.87,None
Maharashtra,January,2021,0.0,7.58,2.28,8.6,88,24.04,low,21.18,None
Tripura,July,2023,633.7,7.3,10.69,6.63,627,25.81,severe,116.2,Cholera
Bihar,July,2022,230.5,6.02,23.12,6.59,630,23.83,severe,128.0,Hepatitis A
Uttarakhand,March,2023,36.2,7.01,2.39,8.96,108,26.95,low,19.15,Cholera
Haryana,August,2024,235.7,7.63,12.73,10.81,324,24.94,high,66.63,None
Sikkim,January,2024,81.1,7.23,3.86,8.68,82,23.64,low,20.04,None
Uttar Pradesh,April,2023,25.7,7.08,9.83,7.81,190,25.79,moderate,43.3,Dysentery
Kerala,January,2023,77.2,7.45,6.37,4.47,103,23.66,moderate,47.02,None
Arunachal Pradesh,February,2022,14.4,7.44,4.99,7.0,113,24.45,moderate,32.91,None
Haryana,February,2023,20.3,7.59,4.18,7.34,107,17.49,moderate,28.26,None
Bihar,July,2023,271.8,6.63,17.0,5.92,741,24.61,severe,124.5,Dysentery
Odisha,August,2020,220.6,7.35,8.63,9.16,315,23.53,high,54.02,None
Assam,February,2021,59.1,7.55,1.28,7.28,108,25.25,moderate,25.08,None
Meghalaya,January,2023,66.7,7.17,3.45,7.01,101,16.52,low,23.65,None
Arunachal Pradesh,February,2024,63.5,6.73,5.74,4.44,85,20.05,moderate,40.5,Typhoid Fever
Rajasthan,March,2020,23.2,7.92,7.65,6.47,93,19.67,moderate,41.45,Giardiasis
Nagaland,August,2022,395.6,6.77,10.01,6.37,493,29.57,severe,101.47,None
Bihar,July,2024,261.1,7.78,9.4,6.71,672,23.94,severe,102.22,Dysentery
Nagaland,August,2023,360.2,7.31,11.0,7.89,405,21.41,severe,80.23,None
Gujarat,July,2024,285.6,6.43,4.42,7.23,346,22.25,high,54.12,Typhoid Fever
Karnataka,May,2020,24.8,7.45,4.22,3.64,92,31.81,moderate,49.84,Typhoid Fever
Nagaland,March,2020,19.8,7.45,6.15,4.81,105,29.34,moderate,47.92,None
Arunachal Pradesh,September,2024,408.5,6.43,10.49,7.72,454,24.2,severe,90.7,Typhoid Fever
Kerala,January,2022,78.4,7.19,6.74,9.67,98,19.98,moderate,25.18,None
Andhra Pradesh,November,2023,6.2,7.23,1.31,8.15,120,18.76,low,16.92,None
Tamil Nadu,July,2020,513.4,6.89,12.42,8.99,544,18.09,severe,96.41,Hepatitis A
Kerala,January,2022,28.6,7.69,2.43,4.31,90,27.95,moderate,43.19,Typhoid Fever
West Bengal,April,2020,35.5,7.72,7.49,7.28,134,25.51,moderate,41.93,None
Manipur,May,2021,18.7,7.37,4.64,9.22,102,27.31,moderate,26.84,None
Arunachal Pradesh,April,2021,45.4,6.95,1.47,6.69,104,28.14,low,24.46,None
Uttarakhand,November,2023,147.9,7.41,4.99,6.47,107,22.63,moderate,33.75,None
Meghalaya,June,2023,588.0,6.79,9.74,5.53,576,31.31,severe,116.62,Typhoid Fever
Kerala,April,2021,11.9,6.64,7.36,5.91,112,35.0,moderate,47.47,None
Chhattisgarh,March,2020,6.1,6.82,4.09,9.59,90,22.65,low,20.3,None
Himachal Pradesh,September,2021,299.0,6.92,9.64,8.59,363,21.41,high,57.09,None
Sikkim,February,2021,54.1,7.53,3.27,8.58,104,16.14,low,22.24,None
Nagaland,February,2022,7.3,7.84,0.72,6.5,99,19.48,moderate,27.24,Cholera
Goa,August,2024,388.5,6.96,6.22,8.13,429,22.54,high,68.41,None
Punjab,May,2021,10.2,7.35,3.06,4.61,117,29.55,moderate,43.04,Typhoid Fever
Sikkim,April,2021,40.7,6.2,3.48,6.56,111,26.61,moderate,36.56,None
Punjab,May,2024,42.0,7.38,3.51,8.36,87,28.06,low,23.55,None
Gujarat,July,2023,145.7,6.85,6.57,7.04,151,25.21,moderate,37.15,None
Uttarakhand,September,2023,235.6,6.71,8.02,9.58,351,22.2,high,55.14,None
Tamil Nadu,October,2020,48.3,6.94,1.87,8.11,108,25.04,low,17.66,None
Mizoram,February,2024,63.4,7.16,3.52,8.89,99,16.15,low,18.54,Hepatitis A
Bihar,July,2021,201.6,7.65,10.42,5.62,627,28.63,severe,106.26,Cholera
Haryana,November,2020,64.6,6.56,3.8,7.82,114,15.9,low,24.3,None
Manipur,July,2022,521.0,6.6,10.29,10.11,562,24.72,severe,99.77,Hepatitis A
Punjab,December,2020,30.6,7.59,6.45,7.88,81,22.29,moderate,28.64,None
Gujarat,October,2022,83.0,7.45,5.1,5.51,94,23.95,moderate,38.53,None
Meghalaya,November,2022,108.1,6.84,3.51,6.82,98,23.09,moderate,25.87,None
Rajasthan,December,2022,49.0,8.29,1.94,7.91,108,22.42,moderate,29.24,None
Tripura,August,2020,461.8,6.95,12.32,5.88,508,26.21,severe,107.57,Hepatitis A
Mizoram,June,2023,560.7,7.17,14.04,7.72,552,24.52,severe,106.37,Cholera
Nagaland,June,2023,346.4,6.74,11.37,8.99,408,27.22,severe,83.7,Dysentery
Mizoram,May,2024,46.6,7.43,5.49,6.26,94,28.89,moderate,37.83,None
Kerala,June,2022,149.9,7.45,0.5,7.89,118,28.35,low,22.03,None
Meghalaya,March,2021,83.3,7.06,0.9,5.93,89,24.97,low,24.13,None
Tamil Nadu,May,2024,48.0,7.31,3.21,8.01,86,26.43,low,21.33,None
Rajasthan,August,2021,119.9,7.96,3.35,5.35,124,27.84,moderate,45.87,Giardiasis
Punjab,August,2021,260.9,6.35,10.03,8.0,339,24.62,high,62.77,Dysentery
Uttar Pradesh,November,2020,120.0,6.54,4.38,5.94,198,17.67,moderate,43.46,None
Nagaland,February,2022,32.5,6.95,4.38,7.01,99,15.0,low,24.11,None
Uttar Pradesh,November,2023,58.3,6.33,6.95,6.75,194,19.51,moderate,46.25,None
Goa,November,2024,258.2,6.88,6.49,10.12,241,18.77,moderate,38.28,Cholera
Punjab,October,2020,123.7,7.26,2.54,7.12,100,23.4,low,23.78,Hepatitis A
Bihar,July,2024,458.3,6.95,14.37,6.91,1026,22.06,severe,165.98,Hepatitis A
Chhattisgarh,November,2022,108.0,7.73,2.84,6.13,97,15.44,moderate,32.03,None
Bihar,December,2023,20.8,6.68,8.43,6.38,224,19.6,high,50.56,Typhoid Fever
Meghalaya,March,2023,0.0,7.28,3.35,7.21,109,28.99,moderate,28.85,None
Tamil Nadu,February,2020,40.6,6.5,4.4,9.27,114,17.45,moderate,25.2,Typhoid Fever
Tamil Nadu,August,2021,287.7,6.35,9.36,7.21,355,21.56,high,65.45,Hepatitis A
Gujarat,February,2020,46.7,7.93,4.33,6.33,100,19.62,moderate,36.31,None
Punjab,May,2021,43.5,7.42,4.57,9.09,116,27.29,moderate,28.59,None
Jharkhand,June,2024,142.1,8.18,5.43,5.61,127,28.34,high,51.48,None
Uttarakhand,December,2021,68.6,7.17,0.98,8.51,105,19.03,low,14.16,None
Haryana,October,2023,50.1,7.58,0.5,9.54,100,27.85,low,20.73,Typhoid Fever
Kerala,March,2021,78.0,6.84,7.24,5.59,106,26.89,moderate,42.18,None
Goa,August,2023,488.0,7.56,10.4,8.16,547,27.8,severe,102.0,Dysentery
Haryana,December,2023,55.4,7.84,3.48,8.77,88,18.14,low,24.16,Typhoid Fever
Andhra Pradesh,November,2022,107.8,7.31,2.9,7.84,105,19.64,low,20.2,None
Karnataka,May,2022,30.9,7.2,1.78,4.84,108,31.34,moderate,37.83,Giardiasis
Himachal Pradesh,December,2020,55.9,6.96,3.23,7.58,104,18.0,low,19.36,None
Punjab,April,2020,0.7,7.25,0.5,9.84,91,29.93,low,17.56,None
Jharkhand,February,2020,4.1,6.48,5.97,8.18,107,18.77,moderate,27.84,None
Rajasthan,March,2024,30.0,8.5,6.29,5.56,99,27.81,high,53.59,Dysentery
Chhattisgarh,September,2024,366.4,7.56,12.93,8.35,405,29.51,severe,92.06,Dysentery
Punjab,October,2022,158.7,7.07,4.52,6.34,106,26.08,moderate,31.68,None
West Bengal,June,2021,302.1,6.12,12.49,6.06,600,29.18,severe,129.68,Hepatitis A
Gujarat,March,2020,30.4,7.11,5.7,6.74,105,28.27,moderate,33.44,None
Gujarat,September,2023,226.6,7.01,8.1,7.93,307,23.51,moderate,49.1,Dysentery
Tripura,September,2020,423.3,8.25,7.37,7.66,465,21.3,severe,91.31,None
Tripura,April,2023,11.3,6.91,3.65,5.05,110,25.9,moderate,36.9,Typhoid Fever
Tamil Nadu,February,2020,0.0,8.12,2.43,7.94,94,15.0,moderate,25.76,None
West Bengal,June,2022,172.2,7.79,2.39,9.16,249,24.63,moderate,39.89,None
Arunachal Pradesh,December,2024,65.3,7.9,7.81,6.72,104,23.82,moderate,43.33,None
Goa,June,2023,234.5,6.63,5.39,8.54,352,23.84,high,51.6,None
Assam,October,2020,63.5,6.76,3.15,8.98,106,24.56,low,21.58,None
Sikkim,September,2021,225.7,6.76,10.07,5.07,324,26.15,high,72.66,Hepatitis A
Himachal Pradesh,August,2022,221.8,6.96,5.74,7.86,307,18.82,moderate,43.28,None
Goa,September,2023,306.7,7.19,8.77,7.69,393,31.06,severe,78.98,None
Rajasthan,August,2020,228.8,6.91,11.36,7.07,322,27.88,high,64.41,Dysentery
Maharashtra,May,2024,30.0,7.92,2.84,9.79,109,30.18,moderate,30.87,None
Chhattisgarh,December,2023,78.3,6.88,7.39,7.44,115,23.03,moderate,31.79,Cholera
Goa,November,2020,158.8,7.89,4.3,7.49,109,16.13,moderate,30.95,Dysentery
Himachal Pradesh,November,2024,69.0,8.18,7.96,7.47,98,16.5,moderate,40.17,None
West Bengal,September,2023,314.0,7.35,14.76,4.79,616,29.98,severe,138.79,Dysentery
Goa,December,2021,63.7,7.95,5.38,5.12,109,20.8,moderate,45.96,None
Tripura,June,2021,380.1,7.27,8.17,7.34,423,29.31,severe,83.15,Dysentery
West Bengal,May,2022,37.0,7.41,0.5,7.64,168,28.34,moderate,27.87,None
Goa,October,2021,161.2,5.86,3.63,8.84,96,22.84,moderate,29.68,None
Nagaland,January,2024,40.0,6.42,2.27,6.76,113,20.32,moderate,28.0,None
Jharkhand,November,2023,225.5,6.94,2.35,6.88,211,18.58,moderate,32.0,None
Rajasthan,May,2023,15.5,6.48,0.5,6.38,96,23.97,moderate,25.88,None
Andhra Pradesh,May,2024,37.4,7.2,4.11,10.96,94,31.24,moderate,25.24,None
West Bengal,June,2024,222.3,6.63,10.15,9.83,506,29.39,severe,79.3,Dysentery
Kerala,July,2022,339.8,7.52,12.3,7.94,412,23.68,severe,87.77,Hepatitis A
Rajasthan,March,2020,6.2,7.4,4.52,5.17,106,22.71,moderate,39.15,None
Jharkhand,September,2021,357.4,7.2,12.0,9.1,418,24.68,severe,84.17,None
Jharkhand,January,2020,38.0,7.23,0.55,4.32,103,18.03,moderate,32.1,Typhoid Fever
Meghalaya,July,2024,484.7,6.6,8.16,7.0,499,27.31,severe,94.65,None
Manipur,April,2023,31.1,8.13,4.3,6.7,94,28.45,moderate,40.03,Giardiasis
Assam,June,2023,145.0,7.68,7.0,6.17,159,28.91,high,50.3,Giardiasis
Arunachal Pradesh,August,2024,355.0,6.99,10.53,7.22,394,23.21,severe,79.28,Dysentery
Mizoram,October,2020,152.0,6.71,3.3,6.19,109,24.92,moderate,31.91,None
Chhattisgarh,April,2022,20.1,6.61,9.58,6.37,90,28.41,moderate,44.41,Typhoid Fever
Nagaland,June,2022,362.3,6.67,11.27,5.02,418,28.48,severe,104.14,Dysentery
Tamil Nadu,November,2021,129.7,5.89,5.68,9.5,92,17.23,moderate,31.66,None
Maharashtra,August,2021,435.1,7.67,8.28,6.0,472,29.56,severe,102.29,None
Uttar Pradesh,January,2024,18.8,7.31,7.05,6.07,201,15.0,moderate,46.95,Hepatitis A
Uttar Pradesh,January,2021,22.4,7.48,8.62,5.73,228,20.56,high,56.47,None
Bihar,February,2024,3.4,6.28,7.25,6.42,212,15.0,high,50.8,None
Arunachal Pradesh,October,2023,187.7,7.33,2.43,7.71,103,28.61,low,24.22,None
Nagaland,July,2020,368.6,7.63,11.54,9.01,423,24.35,severe,88.63,None
West Bengal,August,2022,236.3,7.63,5.71,7.54,537,22.79,severe,75.11,Giardiasis
Madhya Pradesh,April,2023,32.8,7.09,4.91,8.07,131,25.34,moderate,26.49,None
Manipur,February,2022,26.2,7.89,0.5,6.82,87,16.6,low,24.5,Cholera
Karnataka,June,2021,216.4,7.48,3.31,4.98,309,21.98,high,58.41,Dysentery
Maharashtra,July,2021,504.6,6.47,8.66,7.91,513,24.95,severe,92.21,Hepatitis A
Meghalaya,December,2020,225.6,6.79,8.41,6.7,203,20.14,moderate,45.79,Hepatitis A
Haryana,April,2022,32.9,6.88,4.9,7.15,138,23.69,moderate,30.9,None
Tripura,September,2024,390.1,6.62,11.62,5.39,435,25.53,severe,103.63,None
Uttar Pradesh,September,2020,354.9,7.46,7.3,6.55,783,22.54,severe,127.22,Cholera
Tamil Nadu,February,2023,46.0,7.07,3.48,6.8,95,20.92,low,23.62,None
Madhya Pradesh,March,2023,57.6,7.6,3.55,7.84,128,23.65,moderate,28.52,Typhoid Fever
Sikkim,April,2023,2.6,6.75,4.57,4.65,115,27.09,moderate,43.44,None
West Bengal,February,2021,14.4,7.06,2.34,6.86,160,22.3,moderate,28.13,None
Kerala,July,2022,368.9,6.6,14.5,7.51,391,27.02,severe,93.67,Cholera
Meghalaya,November,2021,116.4,7.45,4.48,7.23,94,20.94,moderate,27.18,Typhoid Fever
Gujarat,August,2021,196.7,6.71,4.66,8.05,133,20.53,moderate,25.79,Typhoid Fever
Mizoram,July,2020,368.3,6.14,7.05,8.62,436,19.7,severe,79.56,Hepatitis A
Uttar Pradesh,May,2021,55.6,7.12,6.03,3.46,219,33.89,high,64.81,None
Madhya Pradesh,November,2023,124.0,8.06,5.51,10.0,177,15.0,moderate,39.32,None
Sikkim,June,2020,173.7,6.67,3.0,7.79,139,22.97,moderate,25.73,None
Manipur,March,2022,59.4,6.84,3.8,10.1,97,23.33,low,20.56,Cholera
Madhya Pradesh,February,2024,25.2,7.48,4.57,12.0,148,20.7,moderate,29.09,None
Manipur,November,2021,96.9,7.44,1.09,8.86,109,19.06,low,17.48,Cholera
Gujarat,September,2021,193.1,7.04,4.91,8.44,180,24.25,moderate,30.34,None
Uttar Pradesh,February,2022,40.0,7.7,0.7,5.56,185,15.04,moderate,39.1,None
West Bengal,July,2023,415.4,7.1,18.33,8.89,775,32.27,severe,145.55,Typhoid Fever
Uttar Pradesh,November,2023,163.4,6.58,6.71,5.45,176,15.0,moderate,47.97,Dysentery
Assam,November,2021,225.0,6.34,5.42,7.77,203,20.28,moderate,39.03,None
Kerala,March,2021,0.0,7.63,4.54,7.87,100,24.25,moderate,28.15,None
Mizoram,January,2022,49.5,6.48,3.69,6.56,85,25.05,moderate,30.8,None
Telangana,May,2022,22.1,6.88,3.99,8.43,110,27.35,low,23.86,None
Chhattisgarh,February,2022,0.0,7.09,1.89,7.45,97,21.67,low,17.96,None
Meghalaya,April,2021,0.0,7.31,3.89,4.18,104,29.9,moderate,45.33,Cholera
Haryana,June,2024,337.7,6.26,7.07,7.39,390,26.53,severe,80.23,None
Chhattisgarh,April,2020,11.3,6.88,6.64,7.14,114,28.64,moderate,34.5,None
Rajasthan,February,2023,21.3,7.44,3.9,6.75,116,22.18,moderate,31.14,Dysentery
Sikkim,February,2020,29.5,7.05,3.18,6.31,88,18.3,low,24.11,None
Uttar Pradesh,July,2023,455.7,6.31,18.12,6.07,861,29.28,severe,172.24,Dysentery
Manipur,July,2021,461.0,6.16,11.93,6.92,489,22.43,severe,105.33,Hepatitis A
Arunachal Pradesh,September,2024,274.6,7.0,8.58,5.21,352,31.76,high,72.19,Dysentery
Rajasthan,March,2020,17.7,8.5,3.66,5.9,93,26.38,moderate,45.31,None
Arunachal Pradesh,April,2023,42.2,6.52,1.95,7.95,108,35.0,moderate,27.25,None
Goa,October,2023,19.1,6.64,0.5,8.92,83,28.37,low,17.09,None
Punjab,October,2021,98.6,6.25,3.29,7.5,102,24.89,moderate,29.23,None
Goa,March,2024,15.6,7.07,3.12,7.26,107,28.73,moderate,25.71,None
Jharkhand,February,2023,42.3,7.27,6.59,8.16,96,17.91,moderate,25.48,None
Madhya Pradesh,August,2024,348.6,6.88,16.78,7.41,611,25.31,severe,121.76,Typhoid Fever
Jharkhand,March,2021,33.7,7.36,7.06,5.2,105,25.3,moderate,44.87,None
Gujarat,January,2022,42.5,7.87,7.82,5.73,88,24.06,moderate,46.52,None
Madhya Pradesh,January,2021,52.4,6.56,4.21,8.35,163,21.32,moderate,29.78,Giardiasis
Gujarat,December,2023,118.3,6.46,3.31,6.87,102,20.31,moderate,28.02,None
Manipur,February,2022,6.8,6.94,3.8,4.55,90,25.71,moderate,37.3,None
Manipur,August,2021,335.9,6.24,11.74,2.9,376,26.53,severe,116.93,Dysentery
Chhattisgarh,March,2022,35.1,7.5,1.0,7.03,88,27.77,low,24.54,None
Rajasthan,September,2021,155.9,7.98,6.13,5.72,157,22.52,high,50.42,Typhoid Fever
Himachal Pradesh,November,2020,163.9,6.95,3.92,6.38,100,16.82,moderate,26.44,None
Assam,September,2020,573.5,6.78,15.3,7.65,565,22.37,severe,110.68,Dysentery
West Bengal,February,2020,18.4,7.5,5.7,8.54,176,24.63,moderate,36.31,None
Uttarakhand,October,2022,88.8,6.56,4.67,7.38,111,25.13,moderate,30.51,Cholera
Haryana,September,2022,249.0,6.52,4.11,9.2,321,27.11,moderate,48.68,None
Uttarakhand,April,2021,0.0,7.13,8.07,8.41,97,24.64,moderate,29.46,None
Andhra Pradesh,December,2020,97.0,7.59,6.2,5.47,111,19.3,moderate,42.05,None
Chhattisgarh,September,2021,391.7,6.36,17.28,7.1,451,25.82,severe,112.16,Typhoid Fever
Nagaland,February,2023,46.9,7.49,0.5,8.43,84,19.02,low,14.3,None
Rajasthan,August,2024,135.6,8.33,2.73,5.42,148,25.95,moderate,49.44,None
Manipur,December,2020,25.5,7.55,6.47,5.26,108,17.42,moderate,42.94,None
Uttarakhand,August,2022,182.2,6.99,4.08,6.08,160,25.23,moderate,36.47,Cholera
Punjab,September,2021,310.0,6.39,13.69,8.63,349,26.2,severe,85.78,Dysentery
Madhya Pradesh,February,2023,21.3,7.17,6.46,8.19,161,20.12,moderate,30.78,Cholera
Jharkhand,August,2023,355.5,7.26,10.54,5.82,427,28.82,severe,98.03,Typhoid Fever
Uttar Pradesh,August,2024,194.4,7.46,8.54,7.36,229,20.64,moderate,48.1,Cholera
Himachal Pradesh,March,2021,6.7,8.12,4.4,8.39,93,27.13,moderate,32.86,None
Haryana,September,2024,324.8,6.38,7.84,6.67,408,17.65,severe,83.2,None
Bihar,March,2023,36.5,7.14,4.28,5.32,236,25.1,moderate,49.51,None
Manipur,November,2024,126.0,7.04,6.87,6.67,100,15.26,moderate,30.79,None
Uttar Pradesh,August,2020,358.2,7.18,12.76,6.93,758,27.19,severe,134.48,Typhoid Fever
Odisha,May,2024,12.5,6.97,2.14,8.84,112,25.29,low,18.43,None
Punjab,September,2023,196.7,8.03,2.83,5.14,145,27.43,moderate,48.47,None
Himachal Pradesh,November,2020,123.3,6.77,5.2,8.25,91,22.19,low,22.9,None
Telangana,January,2023,32.9,6.88,5.41,4.81,97,21.68,moderate,38.51,None
Sikkim,December,2020,114.4,6.89,4.41,6.49,95,20.08,moderate,27.01,None
Manipur,June,2020,264.7,7.28,5.06,5.23,346,30.5,high,66.62,None
Rajasthan,June,2021,130.5,7.35,8.18,6.6,154,30.25,moderate,47.38,None
Uttarakhand,November,2020,130.1,7.23,0.57,8.83,78,19.18,low,11.24,None
Madhya Pradesh,October,2021,137.7,8.0,1.01,7.87,138,20.25,moderate,26.59,None
Jharkhand,October,2024,64.0,7.24,4.25,5.08,97,24.77,moderate,37.59,Dysentery
Kerala,October,2021,93.0,7.16,1.34,7.37,89,24.19,low,18.43,None
West Bengal,May,2024,70.5,6.66,9.28,7.26,161,29.19,moderate,46.36,Hepatitis A
Meghalaya,April,2022,51.2,7.42,3.27,9.13,117,24.75,low,24.81,None
Uttar Pradesh,April,2023,12.0,7.11,10.86,6.86,185,26.39,high,50.22,Giardiasis
Mizoram,June,2021,304.7,7.03,7.74,7.31,358,23.64,high,68.22,Cholera
Gujarat,July,2021,33.7,7.64,6.84,4.53,153,24.03,high,54.74,None
Arunachal Pradesh,March,2023,17.6,6.86,5.5,4.85,90,20.52,moderate,37.41,None
Himachal Pradesh,March,2022,23.0,7.04,4.26,5.98,102,29.68,moderate,34.06,None
Kerala,June,2022,486.7,6.79,9.47,4.35,505,32.04,severe,114.97,Cholera
West Bengal,April,2023,38.2,7.51,6.88,7.63,136,24.87,moderate,36.74,None
Punjab,June,2024,285.6,6.48,9.7,4.24,382,32.13,severe,87.66,Hepatitis A
Nagaland,May,2023,23.8,8.12,5.81,7.17,101,23.25,moderate,38.69,None
Punjab,January,2021,45.7,7.05,4.45,6.94,106,21.68,moderate,26.14,Dysentery
Tripura,July,2023,342.8,6.95,10.87,4.13,399,30.87,severe,104.31,Giardiasis
Punjab,June,2023,214.0,7.53,7.2,5.99,306,27.98,high,64.34,None
Tripura,April,2022,30.7,7.27,6.04,7.02,89,25.86,moderate,31.51,None
Tripura,November,2024,49.1,6.74,6.2,6.42,97,19.77,moderate,32.6,None
Gujarat,February,2022,20.8,6.47,3.3,5.89,90,19.94,moderate,31.45,Hepatitis A
Uttar Pradesh,June,2024,198.0,7.66,4.05,8.76,329,29.28,high,52.24,None
Odisha,October,2021,164.2,6.88,1.45,7.86,84,25.16,low,15.78,None
Haryana,January,2020,20.0,7.72,6.45,7.28,108,22.48,moderate,35.74,Hepatitis A
Sikkim,December,2020,102.8,7.65,4.92,7.53,102,20.6,moderate,29.19,None
Bihar,October,2023,35.3,8.39,5.36,8.37,196,21.39,moderate,44.92,None
Andhra Pradesh,October,2020,165.9,7.2,5.72,7.62,85,26.79,moderate,27.23,None
Odisha,February,2022,48.2,7.08,4.85,5.23,117,20.88,moderate,36.49,Cholera
Nagaland,March,2020,23.8,7.71,0.5,6.04,95,26.03,moderate,30.41,None
Gujarat,October,2021,41.2,7.05,1.89,7.7,99,19.87,low,15.68,None
Sikkim,May,2022,39.0,6.9,2.4,4.59,103,27.01,moderate,36.66,None
Himachal Pradesh,March,2024,27.1,6.91,2.44,8.54,87,28.95,low,18.95,None
Sikkim,August,2024,344.8,7.29,11.54,5.38,408,19.58,severe,95.86,None
Madhya Pradesh,February,2021,51.2,7.83,8.68,7.54,125,21.62,moderate,41.27,Hepatitis A
Punjab,December,2021,73.3,7.08,2.42,7.91,105,23.71,low,18.45,Cholera
Arunachal Pradesh,October,2022,130.0,7.33,4.38,5.14,103,25.49,moderate,39.41,None
Punjab,February,2022,21.4,6.63,3.36,7.11,86,17.18,low,23.47,None
Meghalaya,July,2021,561.6,7.74,13.87,7.79,570,22.14,severe,113.11,Typhoid Fever
Maharashtra,September,2021,352.7,7.6,13.46,7.96,424,30.29,severe,96.8,None
Manipur,June,2021,460.1,6.72,14.62,5.37,495,28.34,severe,118.63,Typhoid Fever
